Catalogue number,Parent image ID,Mars Express/HRSC DTM (best resolution),HRSC DTM resolution (m/px),HiRISE available ?,HiRISE image,HiRISE anaglyph,HiRISE DTM,GLF Head lon. (deg. East),GLF Head lon. (+/- 180),GLF Head lat. ,GLF Terminus lon. (deg. East),GLF Terminus lon. (+/- 180),GLF Terminus lat.,Mid-channel true right lon. (deg. East),Mid-channel true right lon. (+/- 180),Mid-channel true right lat.,Mid-channel true left lon. (deg. East),Mid-channel true left lon. (+/- 180),Mid-channel true left lat.,Centre lon. (deg. East),Centre Lon (-180 to 180),Centre .Lat,GLF length (km),GLF width (km),GLF area (km sq.),GLF orientation (deg.),Buffer min. elevation (m),Buffer max. elevation (m),Buffer MEAN elevation (m),Buffer STD. DEV. of elevation,Elongation
726,P18_007980_2154_XI_35N347W,H5339_0000_DA4,75,yes,ESP_036106_2170,,,12.6572,12.6572,36.4507,12.7085,12.7085,36.437,12.6831,12.6831,36.4375,12.689,12.689,36.4517,12.683,12.68285,36.445,2.57726,0.88742,2.28712,108.34982,-3207,-2048,-2417.29,397.563,2.90421
727,P18_007980_2154_XI_35N347W,H5339_0000_DA4,75,yes_(nearby),"ESP_036106_2170, ESP_026902_2170, PSP_005343_2170",,,12.8455,12.8455,36.5322,12.8086,12.8086,36.4805,12.8201,12.8201,36.5105,12.8296,12.8296,36.5054,12.827,12.82705,36.508,3.53279,0.54425,1.92273,209.85353,-3134,-1999,-2524.29,378.259,6.49109
728,P07_003564_1418_XN_38S008W,none,none,yes,"ESP_013941_1420, ESP_027035_1420, ESP_028723_1420",,,351.7448,-8.2552,-37.6082,351.7299,-8.2701,-37.6228,351.7355,-8.2645,-37.6142,351.7395,-8.2605,-37.6185,351.737,-8.26265,-37.616,1.11276,0.31658,0.35228,218.948,429,1749,1122.86,473.864,3.51489
729,P07_003564_1418_XN_38S008W,none,none,yes_(nearby),"ESP_013941_1420, ESP_027035_1420, ESP_028723_1420",,,351.6506,-8.3494,-37.5838,351.6526,-8.3474,-37.6038,351.6506,-8.3494,-37.5945,351.6592,-8.3408,-37.5933,351.652,-8.3484,-37.594,1.18914,0.41011,0.48767,175.47021,373,1599,1001.95,389.828,2.89961
730,P15_007019_1409_XN_39S016W,H2665_0001_DA4,125,yes,ESP_029765_1405,,,343.4949,-16.5051,-39.1499,343.5024,-16.4976,-39.1746,343.4924,-16.5076,-39.1633,343.5046,-16.4954,-39.1604,343.499,-16.50135,-39.162,1.50403,0.58643,0.88201,166.75429,-424,1314,455.528,431.703,2.56472
731,B06_011937_1484_XN_31S016W,H6395_0000_DA4,100,yes_(nearby),ESP_027088_1485,,,343.1923,-16.8077,-31.0906,343.2257,-16.7743,-31.1177,343.1993,-16.8007,-31.1115,343.2065,-16.7935,-31.101,343.209,-16.791,-31.106,2.33522,0.72169,1.68529,133.46795,-795,1065,140.089,417.296,3.23578
732,P07_003736_1395_XN_40S023W,none,none,yes,ESP_029462_1385,,,336.623,-23.377,-41.1961,336.2183,-23.7817,-41.0745,336.4624,-23.5376,-41.0965,336.4624,-23.5376,-41.1228,336.421,-23.57935,-41.110,19.4507,1.55884,30.32048,291.61613,-282,621,220.613,150.858,12.4777
733,P12_005714_1386_XN_41S025W,none,none,no,,,,334.2083,-25.7917,-40.5574,334.24,-25.76,-40.5847,334.2249,-25.7751,-40.572,334.2336,-25.7664,-40.5667,334.224,-25.77585,-40.569,2.1576,0.50211,1.08336,138.59716,-589,1222,478.727,548.01,4.29704
734,P12_005714_1386_XN_41S025W,none,none,no,,,,334.1562,-25.8438,-40.7088,334.2078,-25.7922,-40.7129,334.1824,-25.8176,-40.7195,334.1841,-25.8159,-40.7041,334.182,-25.818,-40.712,2.33101,0.91597,2.13513,96.00092,-882,1454,229.128,687.909,2.54485
735,B02_010276_1417_XI_38S028W,H0478_0000_DA4,125,yes,PSP_010276_1410,,,331.5435,-28.4565,-38.5842,331.5146,-28.4854,-38.3274,331.5327,-28.4673,-38.4641,331.4346,-28.5654,-38.5115,331.529,-28.47095,-38.488,15.27988,5.34856,81.72535,354.95466,-2109,488,-1303.28,731.602,2.85682
736,P14_006479_1246_XN_55S029W,H2438_0000_DA4,100,yes_(nearby),"ESP_029581_1275, ESP_031928_1275, ESP_032495_1275, PSP_002655_1280, PSP_002866_1280, PSP_003156_1280, PSP_003855_1275, PSP_003934_1275","PSP_002655_1280_PSP_003156_1280_RED_ANAGLYPH, PSP_003855_1275_PSP_003934_1275_RED_ANAGLYPH",DTEEC_003934_1275_003855_1275_A01,329.5703,-30.4297,-52.5178,329.8179,-30.1821,-52.6507,329.7173,-30.2827,-52.5842,329.7451,-30.2549,-52.5354,329.694,-30.3059,-52.560,11.89785,3.06099,36.41922,131.55587,514,1496,1002.77,264.664,3.88693
737,P14_006479_1246_XN_55S029W,H0376_0000_DA4,50,yes_(nearby),PSP_006268_1260,,,330.3662,-29.6338,-53.9529,330.124,-29.876,-54.2332,330.2188,-29.7812,-54.0808,330.2998,-29.7002,-54.0799,330.245,-29.7549,-54.080,18.62518,2.817,52.46717,206.77577,648,2397,1259.61,399.976,6.6117
738,P14_006624_1385_XI_41S031W,H2460_0001_DA4,100,no,,,,329.1167,-30.8833,-42.0598,328.9082,-31.0918,-42.1599,328.9834,-31.0166,-42.0901,329.0093,-30.9907,-42.135,329.012,-30.98755,-42.113,10.9203,2.8947,31.61103,237.02115,624,2386,1306.33,341.677,3.77251
739,P14_006624_1385_XI_41S031W,H2460_0001_DA4,100,no,,,,329.1555,-30.8445,-42.824,329.1223,-30.8777,-42.9011,329.1162,-30.8838,-42.8626,329.1431,-30.8569,-42.8772,329.139,-30.8611,-42.870,4.79205,1.45407,6.96799,197.50605,-902,2,-407.134,229.345,3.2956
740,P14_006624_1385_XI_41S031W,H2438_0000_DA4,100,no,,,,329.384,-30.616,-42.8162,329.2866,-30.7134,-42.8838,329.3191,-30.6809,-42.8362,329.3345,-30.6655,-42.854,329.335,-30.6647,-42.845,5.82815,1.24939,7.28165,226.53587,-723,399,-186.228,268.964,4.6648
741,P15_006901_1307_XI_49S032W,H2460_0001_DA4,100,no,,,,327.6904,-32.3096,-48.9202,327.6279,-32.3721,-48.8836,327.6763,-32.3237,-48.8875,327.6416,-32.3584,-48.9192,327.659,-32.34085,-48.903,3.26127,2.31474,7.54899,311.67267,-402,873,238.513,357.747,1.40891
742,P15_006901_1307_XI_49S032W,H2493_0000_DA4,75,yes_(nearby),"ESP_033339_1330, ESP_034829_1325, ESP_035040_1325, ESP_035396_1320, ESP_035818_1320, PSP_006901_1325",,,327.1108,-32.8892,-47.5257,327.3149,-32.6851,-47.5672,327.2021,-32.7979,-47.5652,327.2173,-32.7827,-47.512,327.213,-32.78715,-47.539,8.52801,3.21136,27.38651,106.83945,373,2746,1296.89,658.933,2.65558
743,P19_008549_1331_XN_46S034W,H2493_0000_DA4,75,yes,ESP_017265_1345,,,325.4126,-34.5874,-44.814,325.3484,-34.6516,-44.7954,325.3857,-34.6143,-44.7942,325.3748,-34.6252,-44.8211,325.381,-34.6195,-44.808,2.91627,1.65898,4.83802,292.18934,-1394,1741,-290.701,803.913,1.75787
744,P07_003842_1250_XI_55S035W,H2515_0000_DA4,75,yes,"ESP_029568_1245, PSP_003842_1245, PSP_004897_1245, PSP_005319_1245",PSP_005319_1245_PSP_003842_1245_RED_ANAGLYPH,,324.9639,-35.0361,-55.2586,324.748,-35.252,-55.031,324.9023,-35.0977,-55.1238,324.8311,-35.1689,-55.1697,324.856,-35.14405,-55.147,15.34501,3.63562,55.78861,331.44811,1335,3389,2660,534.381,4.22074
745,P02_001930_1400_XI_40S037W,H0544_0000_DA4,150,yes_(nearby),"ESP_022856_1395, PSP_005187_1390",,,322.4482,-37.5518,-40.6172,322.3477,-37.6523,-40.5552,322.4062,-37.5938,-40.5728,322.3879,-37.6121,-40.6006,322.398,-37.60205,-40.587,5.82826,1.84217,10.73662,309.05571,415,2248,1640.37,439.863,3.16381
746,P14_006466_1390_XN_41S037W,H0544_0000_DA4,150,yes,PSP_005187_1390,,,322.4431,-37.5569,-40.5501,322.3917,-37.6083,-40.5592,322.4111,-37.5889,-40.5462,322.4159,-37.5841,-40.5634,322.417,-37.5826,-40.555,2.37674,1.04213,2.47687,256.86648,16,2166,972.884,585.423,2.28065
747,P15_006822_1433_XN_36S037W,H0533_0000_DA4,150,yes,ESP_016408_1435,,,322.3528,-37.6472,-36.2202,322.3132,-37.6868,-36.2241,322.3337,-37.6663,-36.2244,322.3335,-37.6665,-36.2341,322.333,-37.667,-36.229,1.90758,0.57501,1.09688,263.02814,41,906,313.185,281.918,3.31745
748,P15_006822_1433_XN_36S037W,H0533_0000_DA4,150,yes,ESP_016408_1435,,,322.3928,-37.6072,-36.2578,322.3564,-37.6436,-36.2793,322.375,-37.625,-36.2649,322.3801,-37.6199,-36.2747,322.375,-37.6254,-36.270,2.15632,0.62992,1.3583,233.76281,94,1176,631.286,279.061,3.42318
749,B05_011595_1363_XN_43S038W,H0383_0000_DA4,75,no,,,,322.0747,-37.9253,-42.2586,321.9648,-38.0352,-42.2722,322.021,-37.979,-42.241,322.0244,-37.9756,-42.2693,322.020,-37.98025,-42.255,4.88748,1.684,8.23051,260.46989,-904,932,-164.242,385.962,2.90231
750,P16_007389_1406_XN_39S039W,H0544_0000_DA4,150,no,,,,320.6313,-39.3687,-39.7483,320.7053,-39.2947,-39.7883,320.6636,-39.3364,-39.7747,320.6814,-39.3186,-39.749,320.668,-39.3317,-39.762,4.12149,1.72572,7.11253,125.14028,119,1207,652.169,296.846,2.38827
751,P16_007389_1406_XN_39S039W,H0544_0000_DA4,150,no,,,,320.5833,-39.4167,-39.7825,320.6008,-39.3992,-39.8357,320.5659,-39.4341,-39.8147,320.6091,-39.3909,-39.8023,320.592,-39.40795,-39.809,3.25235,2.09979,6.82926,165.82432,-101,1105,481.574,271.692,1.54889
752,P16_007389_1406_XN_39S039W,H0544_0000_DA4,150,no,,,,320.3823,-39.6177,-39.7551,320.3333,-39.6667,-39.7771,320.3528,-39.6472,-39.7556,320.3608,-39.6392,-39.7727,320.358,-39.6422,-39.764,2.58535,1.07709,2.78465,239.69491,-1186,613,-408.224,532.204,2.40032
753,P16_007389_1406_XN_39S039W,H0544_0000_DA4,150,no,,,,320.6211,-39.3789,-40.1094,320.6599,-39.3401,-40.1065,320.6423,-39.3577,-40.1189,320.6394,-39.3606,-40.0982,320.641,-39.3595,-40.109,1.76729,1.23394,2.18072,84.43106,15,1877,869.546,462.778,1.43223
754,P15_007099_1434_XI_36S040W,H4376_0000_DA4,100,yes,ESP_024689_1435,,,319.1528,-40.8472,-36.052,319.179,-40.821,-36.0857,319.1616,-40.8384,-36.072,319.1797,-40.8203,-36.0654,319.166,-40.8341,-36.069,2.35911,0.95132,2.24427,147.86167,-557,1130,220.822,417.306,2.47983
755,P15_007099_1434_XI_36S040W,H4365_0001_DA4,75,yes_(nearby),"ESP_029067_1425, ESP_030056_1420",,,319.8657,-40.1343,-37.4959,319.8198,-40.1802,-37.5967,319.8391,-40.1609,-37.5359,319.865,-40.135,-37.5452,319.843,-40.15725,-37.541,6.35201,1.33623,8.48776,199.83737,-156,1153,868.034,208.086,4.75367
756,P15_007099_1434_XI_36S040W,H4365_0001_DA4,75,yes_(nearby),"ESP_029067_1425, ESP_030056_1420",,,319.8252,-40.1748,-37.5073,319.7786,-40.2214,-37.5342,319.7959,-40.2041,-37.5029,319.8132,-40.1868,-37.5327,319.802,-40.1981,-37.518,2.70946,1.94454,5.26864,233.93816,-997,1189,-75.6688,651.824,1.39337
757,P19_008312_1414_XN_38S042W,H2625_0000_DA4,150,yes,"ESP_013639_1415, ESP_013850_1415, ESP_028421_1415, ESP_028777_1415, ESP_029344_1415, ESP_036293_1415, PSP_008312_1415",ESP_013850_1415_ESP_013639_1415_RED_ANAGLYPH,DTEEC_013639_1415_013850_1415_A01,317.313,-42.687,-38.1338,317.323,-42.677,-38.2119,317.312,-42.688,-38.1846,317.3306,-42.6694,-38.1824,317.318,-42.682,-38.184,4.65249,0.87632,4.07706,174.25509,-305,2001,863.541,660.21,5.30913
758,P19_008312_1414_XN_38S042W,H2625_0000_DA4,150,no,,,,317.1479,-42.8521,-38.1306,317.1304,-42.8696,-38.1609,317.1284,-42.8716,-38.1365,317.1548,-42.8452,-38.1507,317.139,-42.86085,-38.144,1.9725,1.49092,2.94084,204.42289,-218,2047,1068.2,651.232,1.32301
759,P19_008312_1414_XN_38S042W,H2625_0000_DA4,150,yes_(nearby),"ESP_013639_1415, ESP_013850_1415, ESP_028421_1415, ESP_028777_1415, ESP_029344_1415, ESP_036293_1415, PSP_008312_1415",ESP_013850_1415_ESP_013639_1415_RED_ANAGLYPH,DTEEC_013639_1415_013850_1415_A01,317.2686,-42.7314,-37.8006,317.3677,-42.6323,-37.8816,317.3145,-42.6855,-37.8401,317.3306,-42.6694,-37.8196,317.318,-42.68185,-37.830,6.6758,1.42985,9.54538,136.01576,984,2257,1495.73,302.759,4.66888
760,P02_001917_1431_XN_36S043W,H2625_0000_DA4,150,no,,,,316.2893,-43.7107,-36.5137,316.217,-43.783,-36.5581,316.2524,-43.7476,-36.5327,316.2642,-43.7358,-36.5432,316.253,-43.74685,-36.538,4.33372,0.83851,3.63387,232.58758,733,2482,1821.12,486.533,5.16835
761,P02_001917_1431_XN_36S043W,H2625_0000_DA4,150,no,,,,316.072,-43.928,-36.4182,316.0601,-43.9399,-36.4483,316.0603,-43.9397,-36.4287,316.073,-43.927,-36.4341,316.066,-43.93395,-36.431,1.87214,0.68501,1.28244,197.64117,512,1921,1327.46,352.134,2.73302
762,P16_007152_1396_XN_40S047W,H2669_0000_DA4,200,no,,,,312.0798,-47.9202,-38.6106,312.1394,-47.8606,-38.5911,312.1174,-47.8826,-38.606,312.1145,-47.8855,-38.5994,312.110,-47.8904,-38.603,2.99292,0.41361,1.23791,67.30187,1331,3571,2372.55,755.915,7.23607
763,P16_007152_1396_XN_40S047W,H2669_0000_DA4,200,no,,,,311.9705,-48.0295,-38.5445,312.0283,-47.9717,-38.5252,312,-48,-38.5352,311.9971,-48.0029,-38.5291,311.999,-48.0006,-38.532,2.91377,0.38575,1.12398,66.90184,1802,3589,2968.15,484.803,7.55356
764,P16_007152_1396_XN_40S047W,H2669_0000_DA4,200,no,,,,311.9412,-48.0588,-38.8884,312.0339,-47.9661,-38.918,311.9907,-48.0093,-38.906,311.9946,-48.0054,-38.8921,311.988,-48.01245,-38.899,4.62177,0.84328,3.89747,112.33813,2573,3854,3403.57,386.869,5.48068
765,B05_011503_1451_XN_34S047W,H2669_0000_DA4,200,no,,,,312.5326,-47.4674,-35.7326,312.5204,-47.4796,-35.7604,312.5184,-47.4816,-35.7453,312.5253,-47.4747,-35.7481,312.527,-47.4735,-35.747,1.74914,0.3711,0.64911,199.60101,356,1501,912.915,373.181,4.71336
766,B05_011503_1451_XN_34S047W,H2669_0000_DA4,200,no,,,,312.6349,-47.3651,-35.7591,312.6017,-47.3983,-35.7814,312.6129,-47.3871,-35.7671,312.6161,-47.3839,-35.7705,312.618,-47.3817,-35.769,2.07273,0.25356,0.52557,230.3708,597,1595,1068.73,264.238,8.17439
767,P04_002603_1328_XN_47S050W,none,none,no,,,,309.312,-50.688,-47.8235,309.4014,-50.5986,-47.7844,309.3643,-50.6357,-47.8245,309.3418,-50.6582,-47.7849,309.357,-50.6433,-47.805,4.24711,2.51226,10.66982,56.96281,681,3285,2232.13,717.191,1.69056
768,P05_003170_1331_XI_46S050W,none,none,yes_(nearby),"ESP_016725_1340, PSP_003170_1330, PSP_003302_1330, PSP_004937_1330",PSP_003302_1330_PSP_003170_1330_RED_ANAGLYPH,,309.0415,-50.9585,-46.3272,309.1006,-50.8994,-46.2915,309.0725,-50.9275,-46.3067,309.0684,-50.9316,-46.3003,309.071,-50.92895,-46.304,3.2144,0.41483,1.33342,48.85227,-690,1204,234.573,463.896,7.74879
769,P16_007429_1331_XN_46S050W,none,none,no,,,,309.4756,-50.5244,-45.8071,309.5608,-50.4392,-45.8499,309.5151,-50.4849,-45.843,309.5449,-50.4551,-45.8179,309.518,-50.4818,-45.830,4.33792,1.93079,8.37563,125.81937,-527,1765,674.979,591.513,2.24671
770,P16_007429_1331_XN_46S050W,none,none,yes_(nearby),"PSP_003170_1330, PSP_003302_1330, PSP_004937_1330",PSP_003302_1330_PSP_003170_1330_RED_ANAGLYPH,,309.4697,-50.5303,-46.4629,309.5405,-50.4595,-46.4429,309.5146,-50.4854,-46.4739,309.5049,-50.4951,-46.4444,309.505,-50.4949,-46.459,3.12471,1.7928,5.60198,67.73088,373,3674,1945.65,881.878,1.74292
771,P14_006638_1307_XI_49S051W,H0394_0000_DA4,75,yes_(nearby),"ESP_014180_1335, ESP_019982_1335, ESP_030663_1335, PSP_005359_1330",,,307.8496,-52.1504,-46.6306,308.04,-51.96,-46.6668,307.9453,-52.0547,-46.7175,307.9736,-52.0264,-46.5857,307.945,-52.0552,-46.652,8.03863,7.89637,63.47598,105.54992,687,2755,1956.23,594.712,1.01802
772,P15_006928_1351_XN_44S051W,H0394_0000_DA4,75,no,,,,308.4399,-51.5601,-42.8577,308.521,-51.479,-42.8313,308.4854,-51.5146,-42.8699,308.4746,-51.5254,-42.824,308.480,-51.51955,-42.847,3.85618,2.76074,10.64592,66.08751,-116,2110,1249.06,677.62,1.39679
773,P17_007785_XN_47S051W,none,none,no,,,,308.8311,-51.1689,-48.0359,308.9111,-51.0889,-48.1736,308.8477,-51.1523,-48.115,308.8828,-51.1172,-48.0945,308.871,-51.1289,-48.105,8.75436,1.84564,16.15739,158.82566,-1645,57,-672.864,423.53,4.74326
774,P18_007930_1381_XN_41S051W,H0394_0000_DA4,75,no,,,,308.1672,-51.8328,-41.4055,308.0403,-51.9597,-41.4195,308.103,-51.897,-41.4204,308.1008,-51.8992,-41.437,308.104,-51.89625,-41.429,5.70161,0.98875,5.63747,261.58961,1224,2999,2636.62,411.825,5.76648
775,P18_007930_1381_XN_41S051W,H0394_0000_DA4,75,no,,,,308.1157,-51.8843,-41.3589,308.0222,-51.9778,-41.4063,308.0615,-51.9385,-41.3631,308.0781,-51.9219,-41.3938,308.069,-51.93105,-41.378,5.01828,1.9637,9.8544,235.92398,615,2875,1678.88,646.609,2.55552
776,P18_007930_1381_XN_41S051W,H0394_0000_DA4,75,no,,,,307.7979,-52.2021,-39.3967,307.8276,-52.1724,-39.5549,307.7993,-52.2007,-39.4763,307.8359,-52.1641,-39.4739,307.813,-52.18725,-39.475,9.47467,1.68054,15.92258,171.76394,-622,897,399.922,382.141,5.63787
777,P19_008431_1377_XI_42S052W,H0394_0000_DA4_(partial),75,no,,,,307.1873,-52.8127,-39.9866,307.1521,-52.8479,-40.0078,307.1636,-52.8364,-39.9849,307.1768,-52.8232,-40.0044,307.170,-52.8303,-39.995,2.0331,1.30197,2.64703,231.815,1315,2428,2057.41,299.266,1.56156
778,P19_008431_1377_XI_42S052W,H0394_0000_DA4,75,no,,,,307.3899,-52.6101,-40.3008,307.3962,-52.6038,-40.3518,307.3811,-52.6189,-40.3303,307.3965,-52.6035,-40.3264,307.393,-52.60695,-40.328,3.03622,0.73325,2.22629,174.62206,1191,2507,1909.22,396.474,4.14079
779,P15_006994_1362_XN_43S053W,none,none,no,,,,306.8652,-53.1348,-44.6775,306.8174,-53.1826,-44.7009,306.8325,-53.1675,-44.6726,306.8477,-53.1523,-44.7049,306.841,-53.1587,-44.689,2.44553,2.01877,4.93695,235.43234,-443,1190,224.703,359.594,1.2114
780,P05_003091_1374_XN,H0416_0000_DA4,100,no,,,,305.5796,-54.4204,-41.8572,305.459,-54.541,-41.9534,305.4956,-54.5044,-41.8758,305.5156,-54.4844,-41.9055,305.519,-54.4807,-41.891,7.79834,1.96916,15.35618,222.97521,832,2368,1845.18,360.674,3.96023
781,P05_003091_1374_XN,H0416_0000_DA4,100,yes_(nearby),PSP_007706_1375,,,305.436,-54.564,-41.8391,305.458,-54.542,-41.9529,305.4517,-54.5483,-41.8938,305.4824,-54.5176,-41.8826,305.447,-54.553,-41.888,6.81456,1.50854,10.28002,171.81867,646,2028,1472.3,283.007,4.51733
782,P17_007561_1313_XI_48S054W,H0416_0000_DA4,100,no,,,,305.0967,-54.9033,-46.4866,305.0913,-54.9087,-46.4402,305.1147,-54.8853,-46.4602,305.0757,-54.9243,-46.4646,305.094,-54.906,-46.462,2.75901,1.61351,4.45168,355.41478,-28,2016,1005.32,650.749,1.70995
783,B06_011978_1448_XN_35S055W,none,none,yes_(nearby),ESP_028817_1435,,,304.8086,-55.1914,-35.919,304.8103,-55.1897,-35.9546,304.8054,-55.1946,-35.9387,304.8179,-55.1821,-35.94,304.809,-55.19055,-35.939,2.11164,0.60478,1.27708,177.78633,909,2938,1957.05,566.616,3.49156
784,B06_011978_1448_XN_35S055W,none,none,yes_(nearby),ESP_028817_1435,,,304.6819,-55.3181,-35.9749,304.7051,-55.2949,-36.0027,304.6887,-55.3113,-35.992,304.6968,-55.3032,-35.9856,304.694,-55.3065,-35.989,1.98822,0.54295,1.07951,145.97776,832,3022,1886.94,795.031,3.66185
785,B06_011978_1448_XN_35S055W,none,none,yes_(nearby),ESP_028817_1435,,,304.646,-55.354,-35.989,304.6492,-55.3508,-36.0369,304.6453,-55.3547,-36.0105,304.6548,-55.3452,-36.0154,304.648,-55.3524,-36.013,2.84324,0.54018,1.53587,176.90779,846,2876,1978.57,750.684,5.26348
786,B06_011978_1448_XN_35S055W,none,none,yes_(nearby),ESP_028817_1435,,,304.5825,-55.4175,-36.0252,304.6143,-55.3857,-36.0579,304.5908,-55.4092,-36.0491,304.6035,-55.3965,-36.0354,304.598,-55.4016,-36.042,2.46562,1.01481,2.50213,141.83012,904,2889,1985.82,620.862,2.42964
787,P20_008708_1350_XI_45S056W,H0427_0000_DA4,75,no,,,,303.7437,-56.2563,-43.8557,303.6704,-56.3296,-43.8557,303.7051,-56.2949,-43.8447,303.7058,-56.2942,-43.856,303.707,-56.29295,-43.850,3.13283,0.67044,2.10036,269.97461,-684,186,-127.867,282.529,4.67283
788,P20_008708_1350_XI_45S056W,H0427_0000_DA4,75,no,,,,303.6692,-56.3308,-43.7566,303.6348,-56.3652,-43.7681,303.6494,-56.3506,-43.7581,303.6494,-56.3506,-43.7642,303.652,-56.348,-43.761,1.62266,0.36156,0.58668,245.1494,-693,327,-334.021,348.462,4.48798
789,P20_008708_1350_XI_45S056W,H0427_0000_DA4,75,no,,,,303.655,-56.345,-43.707,303.6213,-56.3787,-43.7224,303.6377,-56.3623,-43.7034,303.6438,-56.3562,-43.721,303.638,-56.36185,-43.712,1.70808,1.07541,1.83689,237.68584,-664,1054,-71.1265,459.551,1.5883
790,P17_007482_1314_XN_48S057W,none,none,no,,,,302.9849,-57.0151,-50.7508,303.001,-56.999,-50.7097,303.0083,-56.9917,-50.7327,302.9829,-57.0171,-50.7258,302.993,-57.00705,-50.729,2.50982,1.03701,2.6027,13.93202,567,2964,1724.72,647.555,2.42026
791,P17_007482_1314_XN_48S057W,none,none,no,,,,302.8506,-57.1494,-50.8504,302.8052,-57.1948,-50.9592,302.8042,-57.1958,-50.9046,302.8354,-57.1646,-50.9114,302.828,-57.1721,-50.908,6.66825,1.23378,8.22714,194.72504,1496,3417,2777,388.506,5.40475
792,P19_008339_1288_XN_51S058W,none,none,no,,,,301.188,-58.812,-50.1983,301.1782,-58.8218,-50.0891,301.1997,-58.8003,-50.1399,301.1851,-58.8149,-50.1453,301.183,-58.8169,-50.143,6.48313,0.64032,4.1513,356.70459,206,1528,1165.91,240.366,10.12477
793,P19_008339_1288_XN_51S058W,none,none,no,,,,301.1206,-58.8794,-50.1421,301.1912,-58.8088,-50.0684,301.1663,-58.8337,-50.1201,301.1445,-58.8555,-50.1001,301.156,-58.8441,-50.110,5.12692,1.44634,7.41528,31.59371,-438,1426,655.561,517.056,3.54475
794,P19_008339_1288_XN_51S058W,none,none,yes,ESP_033485_1290,,,301.3928,-58.6072,-50.6421,301.3867,-58.6133,-50.5327,301.4058,-58.5942,-50.5925,301.3635,-58.6365,-50.5982,301.390,-58.61025,-50.595,6.48835,1.627,10.55657,357.97015,2533,4197,3475.33,443.289,3.98791
795,P15_006902_1280_XN_52S059W,none,none,no,,,,300.8525,-59.1475,-50.8445,300.9404,-59.0596,-50.9168,300.877,-59.123,-50.9031,300.9072,-59.0928,-50.865,300.896,-59.10355,-50.884,5.40087,2.52487,13.63647,142.54322,1583,3149,2355.72,308.867,2.13907
796,P15_006902_1280_XN_52S059W,none,none,no,,,,300.6172,-59.3828,-51.0984,300.999,-59.001,-51.1072,300.8066,-59.1934,-51.1248,300.7998,-59.2002,-51.0691,300.808,-59.1919,-51.097,14.21938,3.31111,47.08185,92.25073,1689,3393,2861.03,468.18,4.29445
797,P15_006902_1280_XN_52S059W,none,none,yes_(nearby),"AEB_000001_0150, ESP_011398_1275, ESP_013165_1275, ESP_013244_1275, ESP_028870_1275, PSP_002155_1270, PSP_003711_1275, PSP_003922_1275, PSP_004344_1275, PSP_004845_1275, PSP_005333_1275,  PSP_006902_1275","ESP_013165_1275_ESP_013244_1275_RED_ANAGLYPH, PSP_005333_1275_PSP_003711_1275_RED_ANAGLYPH",,301.2656,-58.7344,-52.2332,301.2842,-58.7158,-52.0906,301.2979,-58.7021,-52.1677,301.2607,-58.7393,-52.159,301.275,-58.7251,-52.163,8.47911,1.44748,12.27332,4.582,805,3045,2081.89,477.475,5.85786
798,P15_006902_1280_XN_52S059W,none,none,yes_(nearby),"AEB_000001_0150, ESP_011398_1275, ESP_013165_1275, ESP_013244_1275, ESP_028870_1275, PSP_002155_1270, PSP_003711_1275, PSP_003922_1275, PSP_004344_1275, PSP_004845_1275, PSP_005333_1275,  PSP_006902_1275",,,301.1211,-58.8789,-52.4529,301.3398,-58.6602,-52.5388,301.2246,-58.7754,-52.5222,301.2471,-58.7529,-52.4597,301.230,-58.76955,-52.491,9.39173,3.79241,35.61732,122.91453,2130,3098,2700.82,222.054,2.47645
799,P15_006902_1280_XN_52S059W,none,none,yes_(nearby),"AEB_000001_0150, ESP_011398_1275, ESP_013165_1275, ESP_013244_1275, ESP_028870_1275, PSP_002155_1270, PSP_003711_1275, PSP_003922_1275, PSP_004344_1275, PSP_004845_1275, PSP_005333_1275,  PSP_006902_1275",,,301.0527,-58.9473,-52.6824,301.29,-58.71,-52.7273,301.1816,-58.8184,-52.699,301.1875,-58.8125,-52.6433,301.171,-58.82865,-52.671,8.92819,3.30822,29.53642,107.43647,1614,3432,2829.3,444.553,2.69879
800,P19_008629_1346_XI_45S059W,none,none,no,,,,300.5557,-59.4443,-46.5886,300.501,-59.499,-46.6336,300.5215,-59.4785,-46.6004,300.5391,-59.4609,-46.6179,300.528,-59.47165,-46.609,3.47482,1.26073,4.38082,219.84275,823,2021,1585.41,261.199,2.75619
801,P15_006757_1275_XN_52S060W,H2387_0000_DA4,75,no,,,,299.0327,-60.9673,-50.6736,299.1616,-60.8384,-50.5325,299.1245,-60.8755,-50.6287,299.0635,-60.9365,-50.5759,299.097,-60.90285,-50.602,9.66729,3.88072,37.51607,30.15549,829,2495,1985.27,403.744,2.4911
802,P15_006757_1275_XN_52S060W,H2387_0000_DA4,75,no,,,,298.9209,-61.0791,-50.5276,299.0542,-60.9458,-50.4422,299.002,-60.998,-50.5042,298.9766,-61.0234,-50.47,298.988,-61.01245,-50.487,7.13401,2.242,15.99447,44.85497,427,2319,1739.91,493.092,3.18198
