Catalogue number,Parent image ID,Mars Express/HRSC DTM (best resolution),HRSC DTM resolution (m/px),HiRISE available ?,HiRISE image,HiRISE anaglyph,HiRISE DTM,GLF Head lon. (deg. East),GLF Head lon. (+/- 180),GLF Head lat. ,GLF Terminus lon. (deg. East),GLF Terminus lon. (+/- 180),GLF Terminus lat.,Mid-channel true right lon. (deg. East),Mid-channel true right lon. (+/- 180),Mid-channel true right lat.,Mid-channel true left lon. (deg. East),Mid-channel true left lon. (+/- 180),Mid-channel true left lat.,Centre lon. (deg. East),Centre Lon (-180 to 180),Centre .Lat,GLF length (km),GLF width (km),GLF area (km sq.),GLF orientation (deg.),Buffer min. elevation (m),Buffer max. elevation (m),Buffer MEAN elevation (m),Buffer STD. DEV. of elevation,Elongation
21,P18_008036_2292_XI_49N079W,H3283_0000_DA4,75,no,,,,280.5022,-79.4978,48.6258,280.5176,-79.4824,48.6983,280.5269,-79.4731,48.6612,280.4897,-79.5103,48.6685,280.510,-79.4901,48.665,4.33926,1.51917,6.59208,7.98064,-1836,-659,-1201.02,284.634,2.85634
22,P15_006744_2297_XI_49N080W,H1528_0000_DA4,75,yes,ESP_016752_2300,,,279.6545,-80.3455,49.4136,279.7305,-80.2695,49.437,279.6997,-80.3003,49.4185,279.6904,-80.3096,49.4307,279.693,-80.3075,49.425,3.24167,0.80712,2.61642,64.63992,-2405,-668,-1468.54,671.281,4.01635
23,P15_006744_2297_XI_49N080W,H1528_0000_DA4,75,yes,ESP_024334_2300,,,280.0393,-79.9607,49.5877,280.135,-79.865,49.7385,280.1248,-79.8752,49.6487,280.0627,-79.9373,49.6704,280.087,-79.91285,49.660,9.66283,2.70764,26.16349,22.29514,-2392,-260,-1529.51,504.967,3.56873
24,P15_006744_2297_XI_49N080W,H1528_0000_DA4,75,yes,ESP_016752_2300,,,279.6221,-80.3779,49.4514,279.6709,-80.3291,49.482,279.6531,-80.3469,49.4663,279.6433,-80.3567,49.4756,279.647,-80.3535,49.471,2.6121,0.66808,1.74508,46.0062,-2403,-635,-1445.74,648.39,3.90988
25,P19_008537_2285_XI_48N080W,H1528_0000_DA4,75,yes,ESP_016752_2300,,,279.511,-80.489,49.5454,279.6025,-80.3975,49.5794,279.5601,-80.4399,49.5508,279.5527,-80.4473,49.5652,279.557,-80.44325,49.558,4.05403,0.89968,3.64734,60.15742,-2406,-573,-1403.69,651.627,4.50608
26,P18_008102_2285_XI_48N081W,H1528_0000_DA4,75,no,,,,278.3779,-81.6221,49.6756,278.4321,-81.5679,49.7468,278.4546,-81.5454,49.6931,278.3613,-81.6387,49.7185,278.405,-81.595,49.706,4.7037,3.88029,18.25172,26.18787,-1815,1198,-575.098,885.12,1.2122
27,P18_008102_2285_XI_48N081W,H1528_0000_DA4,75,no,,,,278.4995,-81.5005,49.657,278.6362,-81.3638,49.6287,278.5571,-81.4429,49.6204,278.563,-81.437,49.6409,278.568,-81.43215,49.631,5.50832,1.236,6.80825,107.67706,-2037,31,-1532.73,351.477,4.45658
28,P18_008102_2285_XI_48N081W,H1528_0000_DA4,75,no,,,,278.48,-81.52,49.5984,278.6021,-81.3979,49.5979,278.5361,-81.4639,49.6008,278.5361,-81.4639,49.616,278.541,-81.45895,49.608,4.69074,0.90092,4.226,90.3155,-1951,1141,-851.177,874.338,5.20658
29,P18_008102_2285_XI_48N081W,H1528_0000_DA4,75,no,,,,278.4121,-81.5879,49.4863,278.3906,-81.6094,49.4456,278.3889,-81.6111,49.4688,278.4155,-81.5845,49.4607,278.401,-81.59865,49.465,2.55055,1.13157,2.88612,198.95619,-1704,1259,-429.947,743.395,2.254
30,P22_009460_2273_XI_47N081W,H1528_0000_DA4,75,no,,,,278.1987,-81.8013,48.0266,278.106,-81.894,48.0681,278.1587,-81.8413,48.0657,278.1348,-81.8652,48.0349,278.152,-81.84765,48.050,4.42067,2.05655,9.09132,303.84323,-531,1192,485.321,523.951,2.14956
