N,imageID,URL,anaglyphURL,Deskrifans,Dorhys,Dorhys180,Dorles
80,ESP_043031_1895,http://www.uahirise.org/kw/ESP_043031_1895,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_042741_1895,Savnow war Fos Kowdoll yn Simud Valles,324,-36,10
81,ESP_051800_1930,http://www.uahirise.org/kw/ESP_051800_1930,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051800_1930,Run a Gowdoll yn Tiu Valles,324,-36,13
82,ESP_043084_1560,http://www.uahirise.org/kw/ESP_043084_1560,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_043084_1560,Godhes Lesans Gwann-Liwys Ogas dhe Gowdoll Eberswalde,326,-34,-24
83,ESP_051879_1605,http://www.uahirise.org/kw/ESP_051879_1605,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_046196_1605,Pigern Loskvenydhyek Byghan yn Bason Ladon Valles,329,-31,-20
84,ESP_043097_1475,http://www.uahirise.org/kw/ESP_043097_1475,,Kanolyow ha daffar haval orth lin dhe'n north-est a Gowdoll Hale,330,-30,-32
85,ESP_046209_1845,http://www.uahirise.org/kw/ESP_046209_1845,,Kowdoll Ogas dhe Dheray Hydaspis,330,-30,4
86,ESP_051747_1590,http://www.uahirise.org/kw/ESP_051747_1590,,Godhesow Gwiskasek Gwann-liwys a-hys Leur Ladon Valles,331,-29,-21
87,ESP_051813_1575,http://www.uahirise.org/kw/ESP_051813_1575,,Kowdell Strekys Liesek yn Ladon Valles,331,-29,-22
88,ESP_046209_1390,http://www.uahirise.org/kw/ESP_046209_1390,,Tewynnow A-ji dhe Gowdoll Arkhangelsky,335,-25,-41
89,ESP_043057_1985,http://www.uahirise.org/kw/ESP_043057_1985,,Tiredh yn Ranndir Oxia Palus,336,-24,18
90,ESP_051839_1985,http://www.uahirise.org/kw/ESP_051839_1985,,Le Tirans Potencyal rag ExoMars yn Oxia Palus,336,-24,18
91,ESP_042991_2020,http://www.uahirise.org/kw/ESP_042991_2020,http://www.uahirise.org/anaglyph/singula.php?ID=ESP_042991_2020,Savla Tira Ombrofyer Meurth 2020 yn Kowdoll Mclaughlin,338,-22,22
92,ESP_043070_2025,http://www.uahirise.org/kw/ESP_043070_2025,http://www.uahirise.org/anaglyph/singula.php?ID=ESP_028354_2025,Tiredh a-ji dhe Gowdoll Mclaughlin,338,-22,22
93,ESP_051760_1655,http://www.uahirise.org/kw/ESP_051760_1655,,Follenowsilikat Gwann-liwys yn Margaritifer Terra,338,-22,-15
94,ESP_051773_2040,http://www.uahirise.org/kw/ESP_051773_2040,,Tenewen an West Kowdoll Oyama,339,-21,24
95,ESP_040565_1525,http://www.uahirise.org/kw/ESP_040565_1525,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_040565_1525,Le Tirans Potencyal rag Kanaseth 2020 yn Kowdoll Kashira,341,-19,-27
96,ESP_051852_2020,http://www.uahirise.org/kw/ESP_051852_2020,,Savla Tirans Ombrofyer ExoMars yn Mawrth Vallis,343,-17,22
97,ESP_043083_1880,http://www.uahirise.org/kw/ESP_043083_1880,,Tiredh Dynyansek yn Aram Dorsum,348,-12,8
98,ESP_043004_1525,http://www.uahirise.org/kw/ESP_043004_1525,,Arenep a Liw Golow gans Drummow Kettuel a-ji Kowdoll,349,-11,-27
99,ESP_043096_2140,http://www.uahirise.org/kw/ESP_043096_2140,,Mesaow a-ji seudh yn Arabia Terra a'n north-west,349,-11,34
100,ESP_043043_2250,http://www.uahirise.org/kw/ESP_043043_2250,http://www.uahirise.org/anaglyph/singula.php?ID=ESP_043109_2250,Kesweythres ynter Mesa ha Fros yn Acadilia Planitia,353,-7,45
101,ESP_051812_1840,http://www.uahirise.org/kw/ESP_051812_1840,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_050744_1840,Tirwedhow yn Arabia Terra,354,-6,4
102,ESP_013954_1780,http://www.uahirise.org/kw/ESP_013954_1780,,Olow Gwedhra an Gwandryas Opportunity Ogas dhe Gowdoll Victoria,355,-5,-2
103,ESP_051759_2220,http://www.uahirise.org/kw/ESP_051759_2220,https://www.uahirise.org/anaglyph/singula.php?ID=PSP_007506_2220,Talbennow ha Pigern yn Acidalia Planita,355,-5,42
104,ESP_051878_1775,http://www.uahirise.org/kw/ESP_051878_1775,,Park Tewyn yn Kowdoll Endeavour,355,-5,-2
105,ESP_051825_1900,http://www.uahirise.org/kw/ESP_051825_1900,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051825_1900,Gwelidor Gwiskasek y'n Ranndir a Arabia,0,0,10
106,ESP_042989_2650,http://www.uahirise.org/kw/ESP_042989_2650,,Tirwel Teg a Dewynnow Pennaghlek,1,1,85
107,ESP_043003_2480,http://www.uahirise.org/kw/ESP_043003_2480,,Rew Tarosvannus a'n Seson y'n Ranndir Pennaghlek a Veurth,1,1,68
108,ESP_051838_1925,http://www.uahirise.org/kw/ESP_051838_1925,,Gwiskasow ha Tewynnow y'n Ranndir Arabia,4,4,12
109,ESP_043069_1905,http://www.uahirise.org/kw/ESP_043069_1905,,Ow Korwolyas an Tewynnow yn Arabia Terra,9,9,11
110,ESP_051798_2285,http://www.uahirise.org/kw/ESP_051798_2285,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051798_2285,Nasyow Lappa-Furvys,11,11,48
111,ESP_051877_2285,http://www.uahirise.org/kw/ESP_051877_2285,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051798_2285,Nasyow Lappek,11,11,48
112,ESP_051851_1760,http://www.uahirise.org/kw/ESP_051851_1760,,Nammow Tewl war Leur Kowdoll dhe'n West a Gowdoll Schiaparelli,12,12,-4
113,ESP_051785_1560,http://www.uahirise.org/kw/ESP_051785_1560,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051785_1560,Devnydh Gwann-Liwys Diglos yn Kowdoll Bakhusyen,16,16,-24
114,ESP_051811_1765,http://www.uahirise.org/kw/ESP_051811_1765,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_051811_1765,Karrek Wiskashes yn Kowdoll dhe’n Est a Gowdoll Schiaparelli,23,23,-3
115,ESP_051824_2185,http://www.uahirise.org/kw/ESP_051824_2185,,Menegow Fros yn Nans Byghan,24,24,38
116,ESP_051890_1815,http://www.uahirise.org/kw/ESP_051890_1815,https://www.uahirise.org/anaglyph/singula.php?ID=ESP_052167_1815,Tewyn Tewl ha Gwann-liwys yn Arabia Terra,26,26,1
117,ESP_043094_2570,http://www.uahirise.org/kw/ESP_043094_2570,,Tewynnow ha kowdoll koth eskniys y'n ranndir pennaghlek,30,30,77
