HeadX,HeadY,CentreX,CentreY,TerminiX,TerminiY,LeftMidChX,LeftMidChY,RightMidChX,RightMidChY,Length_km,Width_km,Area_kmsq,Orientation,CatNumber,CentreLong,CentreLat,DTMtile,DTMres,HiRISE,HiRISEANAGLYPH,HiRISEDTM
-6144841,2292870,-6144934,2293990,-6145027,2294956,-6145005,2294002,-6144737,2294002,2.095,0.273,0.572,354.8,98,-135.3300,38.7010,none,none,,,
-6146122,2293451,-6145997,2294346,-6145872,2295146,-6146353,2294393,-6146017,2294328,1.714,0.348,0.597,8.5,99,-135.3534,38.7070,none,none,,,
-6133122,2292147,-6134413,2294642,-6135705,2295928,-6133821,2294162,-6133621,2295176,4.607,1.034,4.763,325.2,100,-135.0983,38.7120,none,none,,,
-6263281,2303047,-6263204,2303889,-6263126,2304725,-6263281,2303936,-6262963,2303877,1.685,0.328,0.553,5.3,101,-137.9346,38.8680,H1210_0000_DA4,75,,,
-6302245,2312851,-6302054,2314321,-6301863,2315536,-6302285,2314404,-6301945,2314209,2.713,0.397,1.076,8.2,102,-138.7902,39.0440,H1210_0000_DA4,75,PSP_006232_2190,,
-6300905,2334682,-6301016,2337853,-6301128,2340224,-6301827,2337847,-6300197,2337865,5.546,1.643,9.115,357.7,103,-138.7674,39.4410,H1210_0000_DA4,75,,,
-6273366,2304636,-6272330,2306675,-6271295,2308963,-6272635,2306894,-6272158,2306503,4.811,0.623,2.995,25.9,104,-138.1356,38.9150,H1210_0000_DA4,75,,,
-6351988,2323438,-6350891,2322442,-6349795,2321523,-6350726,2322815,-6351134,2322074,2.931,0.848,2.487,130.8,105,-139.8658,39.1810,H1232_0000_DA4,75,,,
-6443965,2116599,-6443583,2117648,-6443202,2118407,-6443742,2117784,-6443365,2117494,1.980,0.494,0.978,24.1,106,-141.9071,35.7260,none,none,,,
-6445372,2117482,-6444841,2119782,-6444310,2121530,-6444973,2119924,-6444541,2119622,4.202,0.548,2.302,15.5,107,-141.9348,35.7620,none,none,,,
-6450263,2021000,-6446194,2019074,-6442126,2016021,-6444119,2019928,-6444655,2018250,10.111,1.775,17.943,119.4,108,-141.9646,34.0630,none,none,,,
-6452855,2010177,-6453743,2008464,-6454631,2006905,-6452833,2007830,-6454431,2009045,3.796,2.116,8.030,210.5,109,-142.1309,33.8840,none,none,,,
-6461760,2011896,-6461560,2012495,-6461360,2012821,-6461860,2012666,-6461138,2012299,1.021,0.864,0.882,25.1,110,-142.3030,33.9520,none,none,,,
-6459153,2012287,-6460184,2010420,-6461215,2009454,-6459598,2010088,-6460375,2010693,3.607,1.036,3.737,218.3,111,-142.2727,33.9170,none,none,,,
-6462922,2009738,-6463787,2008227,-6464652,2006324,-6462854,2007948,-6464007,2008523,3.895,1.376,5.359,208.8,112,-142.3521,33.8800,none,none,,,
